@relation feature_mat

@attribute ACCESS_CHECKIN_PROPERTIES numeric
@attribute ' ACCESS_COARSE_LOCATION' numeric
@attribute ' ACCESS_FINE_LOCATION' numeric
@attribute ' ACCESS_LOCATION_EXTRA_COMMANDS' numeric
@attribute ' ACCESS_NETWORK_STATE' numeric
@attribute ' ACCESS_NOTIFICATION_POLICY' numeric
@attribute ' ACCESS_WIFI_STATE' numeric
@attribute ' ACCOUNT_MANAGER' numeric
@attribute ' ADD_VOICEMAIL' numeric
@attribute ' ALLOCATE_AGGRESSIVE' numeric
@attribute ' ANSWER_PHONE_CALLS' numeric
@attribute ' BATTERY_STATS' numeric
@attribute ' BIND_ACCESSIBILITY_SERVICE' numeric
@attribute ' BIND_APPWIDGET' numeric
@attribute ' BIND_AUTOFILL' numeric
@attribute ' BIND_AUTO_FILL' numeric
@attribute ' BIND_CARRIER_MESSAGING_SERVICE' numeric
@attribute ' BIND_CARRIER_SERVICES' numeric
@attribute ' BIND_CHOOSER_TARGET_SERVICE' numeric
@attribute ' BIND_CONDITION_PROVIDER_SERVICE' numeric
@attribute ' BIND_DEVICE_ADMIN' numeric
@attribute ' BIND_DREAM_SERVICE' numeric
@attribute ' BIND_INCALL_SERVICE' numeric
@attribute ' BIND_INPUT_METHOD' numeric
@attribute ' BIND_MIDI_DEVICE_SERVICE' numeric
@attribute ' BIND_NFC_SERVICE' numeric
@attribute ' BIND_NOTIFICATION_LISTENER_SERVICE' numeric
@attribute ' BIND_PRINT_SERVICE' numeric
@attribute ' BIND_QUICK_SETTINGS_TILE' numeric
@attribute ' BIND_REMOTEVIEWS' numeric
@attribute ' BIND_SCREENING_SERVICE' numeric
@attribute ' BIND_TELECOM_CONNECTION_SERVICE' numeric
@attribute ' BIND_TEXT_SERVICE' numeric
@attribute ' BIND_TV_INPUT' numeric
@attribute ' BIND_VISUAL_VOICEMAIL_SERVICE' numeric
@attribute ' BIND_VOICE_INTERACTION' numeric
@attribute ' BIND_VPN_SERVICE' numeric
@attribute ' BIND_VR_LISTENER_SERVICE' numeric
@attribute ' BIND_WALLPAPER' numeric
@attribute ' BLUETOOTH' numeric
@attribute ' BLUETOOTH_ADMIN' numeric
@attribute ' BLUETOOTH_PRIVILEGED' numeric
@attribute ' BODY_SENSORS' numeric
@attribute ' BROADCAST_PACKAGE_REMOVED' numeric
@attribute ' BROADCAST_SMS' numeric
@attribute ' BROADCAST_STICKY' numeric
@attribute ' BROADCAST_WAP_PUSH' numeric
@attribute ' CALL_PHONE' numeric
@attribute ' CALL_PRIVILEGED' numeric
@attribute ' CAMERA' numeric
@attribute ' CAPTURE_AUDIO_OUTPUT' numeric
@attribute ' CAPTURE_SECURE_VIDEO_OUTPUT' numeric
@attribute ' CAPTURE_VIDEO_OUTPUT' numeric
@attribute ' CHANGE_COMPONENT_ENABLED_STATE' numeric
@attribute ' CHANGE_CONFIGURATION' numeric
@attribute ' CHANGE_NETWORK_STATE' numeric
@attribute ' CHANGE_WIFI_MULTICAST_STATE' numeric
@attribute ' CHANGE_WIFI_STATE' numeric
@attribute ' CLEAR_APP_CACHE' numeric
@attribute ' CONTROL_LOCATION_UPDATES' numeric
@attribute ' DELETE_CACHE_FILES' numeric
@attribute ' DELETE_PACKAGES' numeric
@attribute ' DIAGNOSTIC' numeric
@attribute ' DISABLE_KEYGUARD' numeric
@attribute ' DUMP' numeric
@attribute ' EXPAND_STATUS_BAR' numeric
@attribute ' FACTORY_TEST' numeric
@attribute ' GET_ACCOUNTS' numeric
@attribute ' GET_ACCOUNTS_PRIVILEGED' numeric
@attribute ' GET_PACKAGE_SIZE' numeric
@attribute ' GET_TASKS' numeric
@attribute ' GLOBAL_SEARCH' numeric
@attribute ' INSTALL_LOCATION_PROVIDER' numeric
@attribute ' INSTALL_PACKAGES' numeric
@attribute ' INSTALL_SHORTCUT' numeric
@attribute ' INSTANT_APP_FOREGROUND_SERVICE' numeric
@attribute ' INTERNET' numeric
@attribute ' KILL_BACKGROUND_PROCESSES' numeric
@attribute ' LOCATION_HARDWARE' numeric
@attribute ' MANAGE_DOCUMENTS' numeric
@attribute ' MANAGE_OWN_CALLS' numeric
@attribute ' MASTER_CLEAR' numeric
@attribute ' MEDIA_CONTENT_CONTROL' numeric
@attribute ' MODIFY_AUDIO_SETTINGS' numeric
@attribute ' MODIFY_PHONE_STATE' numeric
@attribute ' MOUNT_FORMAT_FILESYSTEMS' numeric
@attribute ' MOUNT_UNMOUNT_FILESYSTEMS' numeric
@attribute ' NFC' numeric
@attribute ' PACKAGE_USAGE_STATS' numeric
@attribute ' PERSISTENT_ACTIVITY' numeric
@attribute ' PROCESS_OUTGOING_CALLS' numeric
@attribute ' READ_CALENDAR' numeric
@attribute ' READ_CALL_LOG' numeric
@attribute ' READ_CONTACTS' numeric
@attribute ' READ_EXTERNAL_STORAGE' numeric
@attribute ' READ_FRAME_BUFFER' numeric
@attribute ' READ_INPUT_STATE' numeric
@attribute ' READ_LOGS' numeric
@attribute ' READ_PHONE_NUMBERS' numeric
@attribute ' READ_PHONE_STATE' numeric
@attribute ' READ_SMS' numeric
@attribute ' READ_SYNC_SETTINGS' numeric
@attribute ' READ_SYNC_STATS' numeric
@attribute ' READ_VOICEMAIL' numeric
@attribute ' REBOOT' numeric
@attribute ' RECEIVE_BOOT_COMPLETED' numeric
@attribute ' RECEIVE_MMS' numeric
@attribute ' RECEIVE_SMS' numeric
@attribute ' RECEIVE_WAP_PUSH' numeric
@attribute ' RECORD_AUDIO' numeric
@attribute ' REORDER_TASKS' numeric
@attribute ' REQUEST_DELETE_PACKAGES' numeric
@attribute ' REQUEST_IGNORE_BATTERY_OPTIMIZATIONS' numeric
@attribute ' REQUEST_INSTALL_PACKAGES' numeric
@attribute ' RESTART_PACKAGES' numeric
@attribute ' RESTRICTED_VR_ACCESS' numeric
@attribute ' RUN_IN_BACKGROUND' numeric
@attribute ' SEND_RESPOND_VIA_MESSAGE' numeric
@attribute ' SEND_SMS' numeric
@attribute ' SET_ALARM' numeric
@attribute ' SET_ALWAYS_FINISH' numeric
@attribute ' SET_ANIMATION_SCALE' numeric
@attribute ' SET_DEBUG_APP' numeric
@attribute ' SET_PREFERRED_APPLICATIONS' numeric
@attribute ' SET_PROCESS_LIMIT' numeric
@attribute ' SET_TIME' numeric
@attribute ' SET_TIME_ZONE' numeric
@attribute ' SET_WALLPAPER' numeric
@attribute ' SET_WALLPAPER_HINTS' numeric
@attribute ' SIGNAL_PERSISTENT_PROCESSES' numeric
@attribute ' STATUS_BAR' numeric
@attribute ' SYSTEM_ALERT_WINDOW' numeric
@attribute ' TRANSMIT_IR' numeric
@attribute ' UNINSTALL_SHORTCUT' numeric
@attribute ' UPDATE_DEVICE_STATS' numeric
@attribute ' USE_DATA_IN_BACKGROUND' numeric
@attribute ' USE_FINGERPRINT' numeric
@attribute ' USE_SIP' numeric
@attribute ' VIBRATE' numeric
@attribute ' WAKE_LOCK' numeric
@attribute ' WRITE_APN_SETTINGS' numeric
@attribute ' WRITE_CALENDAR' numeric
@attribute ' WRITE_CALL_LOG' numeric
@attribute ' WRITE_CONTACTS' numeric
@attribute ' WRITE_EXTERNAL_STORAGE' numeric
@attribute ' WRITE_GSERVICES' numeric
@attribute ' WRITE_SECURE_SETTINGS' numeric
@attribute ' WRITE_SETTINGS' numeric
@attribute ' WRITE_SYNC_SETTINGS' numeric
@attribute ' WRITE_VOICEMAIL' numeric
@attribute ' Labels' {' benign',' malware'}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' benign'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' benign'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,' benign'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,' benign'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' benign'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' benign'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' benign'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' benign'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' benign'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,' benign'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' benign'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,' benign'
