@relation 'feature_mat-weka.filters.unsupervised.attribute.Remove-V-R15,104,14,136,146,33,141,71,60,34,109,107,59,95,99,45,108,21,118,123,70,90,19,88,126,9,28,100,49,74,24,61,41,101,117,11,69,57,91,42,73,151'

@attribute ' BIND_AUTOFILL' numeric
@attribute ' READ_VOICEMAIL' numeric
@attribute ' BIND_APPWIDGET' numeric
@attribute ' USE_DATA_IN_BACKGROUND' numeric
@attribute ' WRITE_GSERVICES' numeric
@attribute ' BIND_TEXT_SERVICE' numeric
@attribute ' WRITE_APN_SETTINGS' numeric
@attribute ' GET_TASKS' numeric
@attribute ' CONTROL_LOCATION_UPDATES' numeric
@attribute ' BIND_TV_INPUT' numeric
@attribute ' RECEIVE_WAP_PUSH' numeric
@attribute ' RECEIVE_MMS' numeric
@attribute ' CLEAR_APP_CACHE' numeric
@attribute ' READ_EXTERNAL_STORAGE' numeric
@attribute ' READ_PHONE_NUMBERS' numeric
@attribute ' BROADCAST_SMS' numeric
@attribute ' RECEIVE_SMS' numeric
@attribute ' BIND_DEVICE_ADMIN' numeric
@attribute ' SEND_RESPOND_VIA_MESSAGE' numeric
@attribute ' SET_DEBUG_APP' numeric
@attribute ' GET_PACKAGE_SIZE' numeric
@attribute ' PERSISTENT_ACTIVITY' numeric
@attribute ' BIND_CHOOSER_TARGET_SERVICE' numeric
@attribute ' NFC' numeric
@attribute ' SET_TIME' numeric
@attribute ' ADD_VOICEMAIL' numeric
@attribute ' BIND_PRINT_SERVICE' numeric
@attribute ' READ_PHONE_STATE' numeric
@attribute ' CALL_PRIVILEGED' numeric
@attribute ' INSTALL_PACKAGES' numeric
@attribute ' BIND_INPUT_METHOD' numeric
@attribute ' DELETE_CACHE_FILES' numeric
@attribute ' BLUETOOTH_ADMIN' numeric
@attribute ' READ_SMS' numeric
@attribute ' RUN_IN_BACKGROUND' numeric
@attribute ' ANSWER_PHONE_CALLS' numeric
@attribute ' GET_ACCOUNTS_PRIVILEGED' numeric
@attribute ' CHANGE_WIFI_MULTICAST_STATE' numeric
@attribute ' PROCESS_OUTGOING_CALLS' numeric
@attribute ' BLUETOOTH_PRIVILEGED' numeric
@attribute ' INSTALL_LOCATION_PROVIDER' numeric
@attribute ' Labels' {' benign',' malware'}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' benign'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' benign'
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,' benign'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' benign'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' benign'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' benign'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' benign'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' benign'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' benign'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' benign'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' benign'
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' benign'
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' benign'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,' benign'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' benign'
